feature,v_type,X_base,L_base,drift_type,shap_importance_main_model,cv_target,X_raw,X_coral,X_pca,X_drop,X_rec_coral,X_rec_pca,L_raw,L_coral,L_pca,L_drop,L_rec_coral,L_rec_pca
intraop_Na_q75,continuous,0.9029357406817264,0.8570358898494262,LOW_VARIANCE_TARGET,0.0026918439393711275,0.0149,,,,,,,,,,,,
intraop_pO2_min,continuous,0.8718997527166966,0.9273867065084407,NONLINEAR_DRIFT,0.02261296947903276,,0.7204003522245132,0.4285426476382904,-0.4795305149772384,0.15149940049218347,-192.64611189090544,-200.0,0.9128211478252162,0.4453010863245409,-0.2600953486181552,0.014565558683224511,-200.0,-200.0
postop_Tprotein_avg,continuous,0.9342816746626892,0.7033466322492189,INSUFFICIENT_CLINIC_DATA,0.0030423227233428033,,,,,,,,,,,,,
postop_Cr_intercept,continuous,0.9327847516415847,0.6673174488645854,CONCEPT_RELATIONAL,0.002641042832820285,,0.2531829074905205,0.08157745179202636,0.04696502281677917,0.6796018441510642,-25.250881405841085,-30.343926587094806,0.1517412175098959,0.015800541888715047,0.0014441392894559701,0.5155762313546896,-26.366746051111257,-29.15128143621566
intraop_pO2_q75,continuous,0.9562824565177981,0.9654311311414551,NONLINEAR_DRIFT,0.0020832909118187045,,0.8701205358535458,0.20390313417221007,-0.863070462365825,0.08616192066425232,-200.0,-200.0,0.9614971944575033,0.2788386418342611,-0.8470483697422335,0.003933936683951811,-200.0,-200.0
intraop_Lact_min,continuous,0.7463254348247508,0.6823859321187445,STABLE,0.0019633415370441435,,0.8633560592175442,0.1334947106083736,-0.032184915787542234,-0.11703062439279344,,,0.7559300853497812,0.3574156998454583,0.028289980210355448,-0.07354415323103669,,
intraop_Lact_median,continuous,0.9490121211849301,0.8536224408170194,STABLE,0.0026992736231058923,,0.9457268573160341,-1.311997942942897,-0.8208724571863173,0.003285263868895938,-200.0,-200.0,0.7851762406115994,-0.8388810148799184,-1.2067998232315627,0.06844620020542003,-200.0,-200.0
preop_Ca,continuous,0.200591199667695,0.1438240837356115,CONCEPT_RELATIONAL,0.001880155945304929,,-0.08320674054524635,-0.046846884789689236,-0.024825316162756517,0.28379794021294136,12.81188148450807,20.57147572624546,-0.0259100277889861,-0.022675591583152688,-0.010770189935063401,0.1697341115245976,1.9055899705609165,8.91973788764827
intraop_SpO2_min,continuous,0.7120014905042806,0.5623360237916271,NONLINEAR_DRIFT,0.0031721103435210507,,0.5870980924355906,0.44994507739880074,-0.011341912435383072,0.12490339806869,-109.80727278641633,-200.0,0.6402314684989054,0.4771110127581556,-0.004142461462028235,-0.07789544470727838,,
postop_BEecf_intercept,continuous,0.895229887797356,0.728106826706304,PARTIAL_RECOVERY,0.0029337023699525107,,0.42086282128200203,-0.12011558770465536,-0.06707072737128672,0.474367066515354,-114.04215156853587,-102.85991231170253,-0.6690743137835669,-0.07487777346910462,-0.1408681821394624,1.3971811404898709,42.52823940252506,37.8051289368899
postop_Hb_intercept,continuous,0.81796821632058,0.7830671902594573,CONCEPT_RELATIONAL,0.0032804005026511973,,-0.1364510408324473,-0.08403746577041837,-0.3057531897895134,0.9544192571530273,5.49167199521679,-17.738760789685212,-0.13225041201690413,-0.14876895140937862,-0.3716217560273267,0.9153176022763614,-1.8046784363584285,-26.151725195179775
